original_path,new_path,brand,model,series,category,tag,width,height,aspect_ratio,score,sha1
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632225_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_01.jpg,BMW,i3,Neue Klasse,exterior,cover,6346,4233,1.4992,3,c932e78f79a2a1b9c516508f7961ff59524e99a9
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632243_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/detail/bmw_i3_detail_front_01.jpg,BMW,i3,Neue Klasse,detail,front,5464,8192,0.667,2,8cbc273fcfb4ddf7252d10d22e91469b1c6cbb31
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632236_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_02.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,b1e286f4c7005a43505aa6dc92238c4910049bf2
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632416_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_03.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,dbcbc118a99ed071bb2815bfff8cdc01e0f52d64
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632247_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_04.jpg,BMW,i3,Neue Klasse,exterior,cover,7182,4792,1.4987,3,f4997113ded47aafe6683267288d117997737a15
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632421_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_05.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,228c324dee041d944773fa796b8cb70d14d36dca
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632231_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_06.jpg,BMW,i3,Neue Klasse,exterior,cover,6695,4500,1.4878,3,c62af1503110366758e41c13ad7e832a5631ea81
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632240_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_07.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,453252d1c5395497f6f4ea8f0ea517a773f28260
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632661_highRes_bmw-i3-rim.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/detail/bmw_i3_detail_front_02.jpg,BMW,i3,Neue Klasse,detail,front,7000,4667,1.4999,11,62a8e91aa80b80c5cf4e721bcbada1013f8e1dfc
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632415_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_08.jpg,BMW,i3,Neue Klasse,exterior,cover,8184,5459,1.4992,3,a259231427c8f2ab705be539e3653c95a2875277
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632244_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_09.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,e5c3cf33ea5ba0c0221bf6f33762ba74910accb5
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632239_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_10.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,210fa884b2b8217234ba69dcc0cf3e59e72ffc15
